zip,state,Region,zip_first_two_digits,zip_first_three_digits
01128,MA,Northeast,01,011
01129,MA,Northeast,01,011
01133,MA,Northeast,01,011
01138,MA,Northeast,01,011
01139,MA,Northeast,01,011
01144,MA,Northeast,01,011
01151,MA,Northeast,01,011
01152,MA,Northeast,01,011
01195,MA,Northeast,01,011
01199,MA,Northeast,01,011
01201,MA,Northeast,01,012
01202,MA,Northeast,01,012
01203,MA,Northeast,01,012
01220,MA,Northeast,01,012
01222,MA,Northeast,01,012
01223,MA,Northeast,01,012
01224,MA,Northeast,01,012
01225,MA,Northeast,01,012
01226,MA,Northeast,01,012
01227,MA,Northeast,01,012
01229,MA,Northeast,01,012
01230,MA,Northeast,01,012
01235,MA,Northeast,01,012
01236,MA,Northeast,01,012
01237,MA,Northeast,01,012
01238,MA,Northeast,01,012
01240,MA,Northeast,01,012
01242,MA,Northeast,01,012
01243,MA,Northeast,01,012
01244,MA,Northeast,01,012
01245,MA,Northeast,01,012
01247,MA,Northeast,01,012
01252,MA,Northeast,01,012
01253,MA,Northeast,01,012
01254,MA,Northeast,01,012
01255,MA,Northeast,01,012
01256,MA,Northeast,01,012
01257,MA,Northeast,01,012
01258,MA,Northeast,01,012
01259,MA,Northeast,01,012
01260,MA,Northeast,01,012
01262,MA,Northeast,01,012
01263,MA,Northeast,01,012
01264,MA,Northeast,01,012
01266,MA,Northeast,01,012
01267,MA,Northeast,01,012
01270,MA,Northeast,01,012
01301,MA,Northeast,01,013
01302,MA,Northeast,01,013
01330,MA,Northeast,01,013
01331,MA,Northeast,01,013
01337,MA,Northeast,01,013
01338,MA,Northeast,01,013
01339,MA,Northeast,01,013
01340,MA,Northeast,01,013
01341,MA,Northeast,01,013
01342,MA,Northeast,01,013
01343,MA,Northeast,01,013
01344,MA,Northeast,01,013
01346,MA,Northeast,01,013
01347,MA,Northeast,01,013
01349,MA,Northeast,01,013
01350,MA,Northeast,01,013
01351,MA,Northeast,01,013
01354,MA,Northeast,01,013
01355,MA,Northeast,01,013
01360,MA,Northeast,01,013
01364,MA,Northeast,01,013
01366,MA,Northeast,01,013
01367,MA,Northeast,01,013
01368,MA,Northeast,01,013
01370,MA,Northeast,01,013
01373,MA,Northeast,01,013
01375,MA,Northeast,01,013
01376,MA,Northeast,01,013
01378,MA,Northeast,01,013
01379,MA,Northeast,01,013
01380,MA,Northeast,01,013
01420,MA,Northeast,01,014
01430,MA,Northeast,01,014
01431,MA,Northeast,01,014
01432,MA,Northeast,01,014
01434,MA,Northeast,01,014
01436,MA,Northeast,01,014
01438,MA,Northeast,01,014
01440,MA,Northeast,01,014
01441,MA,Northeast,01,014
01450,MA,Northeast,01,014
01451,MA,Northeast,01,014
01452,MA,Northeast,01,014
01453,MA,Northeast,01,014
01460,MA,Northeast,01,014
01462,MA,Northeast,01,014
01463,MA,Northeast,01,014
01464,MA,Northeast,01,014
01467,MA,Northeast,01,014
01468,MA,Northeast,01,014
01469,MA,Northeast,01,014
01470,MA,Northeast,01,014
01471,MA,Northeast,01,014
01472,MA,Northeast,01,014
01473,MA,Northeast,01,014
01474,MA,Northeast,01,014
01475,MA,Northeast,01,014
01477,MA,Northeast,01,014
01501,MA,Northeast,01,015
01503,MA,Northeast,01,015
01504,MA,Northeast,01,015
01505,MA,Northeast,01,015
01506,MA,Northeast,01,015
01507,MA,Northeast,01,015
01508,MA,Northeast,01,015
01509,MA,Northeast,01,015
01510,MA,Northeast,01,015
01515,MA,Northeast,01,015
01516,MA,Northeast,01,015
01517,MA,Northeast,01,015
01518,MA,Northeast,01,015
01519,MA,Northeast,01,015
01520,MA,Northeast,01,015
01521,MA,Northeast,01,015
01522,MA,Northeast,01,015
01523,MA,Northeast,01,015
01524,MA,Northeast,01,015
01525,MA,Northeast,01,015
01526,MA,Northeast,01,015
01527,MA,Northeast,01,015
01529,MA,Northeast,01,015
01531,MA,Northeast,01,015
01532,MA,Northeast,01,015
01534,MA,Northeast,01,015
01535,MA,Northeast,01,015
01536,MA,Northeast,01,015
01537,MA,Northeast,01,015
01538,MA,Northeast,01,015
01540,MA,Northeast,01,015
01541,MA,Northeast,01,015
01542,MA,Northeast,01,015
01543,MA,Northeast,01,015
01545,MA,Northeast,01,015
01546,MA,Northeast,01,015
01550,MA,Northeast,01,015
01560,MA,Northeast,01,015
01561,MA,Northeast,01,015
01562,MA,Northeast,01,015
01564,MA,Northeast,01,015
01566,MA,Northeast,01,015
01568,MA,Northeast,01,015
01569,MA,Northeast,01,015
01570,MA,Northeast,01,015
01571,MA,Northeast,01,015
01580,MA,Northeast,01,015
01581,MA,Northeast,01,015
01582,MA,Northeast,01,015
01583,MA,Northeast,01,015
01585,MA,Northeast,01,015
01586,MA,Northeast,01,015
01588,MA,Northeast,01,015
01590,MA,Northeast,01,015
01601,MA,Northeast,01,016
01602,MA,Northeast,01,016
01603,MA,Northeast,01,016
01604,MA,Northeast,01,016
01605,MA,Northeast,01,016
01606,MA,Northeast,01,016
01607,MA,Northeast,01,016
01608,MA,Northeast,01,016
01609,MA,Northeast,01,016
01610,MA,Northeast,01,016
01611,MA,Northeast,01,016
01612,MA,Northeast,01,016
01613,MA,Northeast,01,016
01614,MA,Northeast,01,016
01615,MA,Northeast,01,016
01653,MA,Northeast,01,016
01654,MA,Northeast,01,016
01655,MA,Northeast,01,016
01701,MA,Northeast,01,017
01702,MA,Northeast,01,017
01703,MA,Northeast,01,017
01704,MA,Northeast,01,017
01705,MA,Northeast,01,017
01718,MA,Northeast,01,017
01719,MA,Northeast,01,017
01720,MA,Northeast,01,017
01721,MA,Northeast,01,017
01730,MA,Northeast,01,017
01731,MA,Northeast,01,017
01740,MA,Northeast,01,017
01741,MA,Northeast,01,017
01742,MA,Northeast,01,017
01745,MA,Northeast,01,017
01746,MA,Northeast,01,017
01747,MA,Northeast,01,017
01748,MA,Northeast,01,017
01749,MA,Northeast,01,017
01752,MA,Northeast,01,017
01754,MA,Northeast,01,017
01756,MA,Northeast,01,017
01757,MA,Northeast,01,017
01760,MA,Northeast,01,017
01770,MA,Northeast,01,017
01772,MA,Northeast,01,017
01773,MA,Northeast,01,017
01775,MA,Northeast,01,017
01776,MA,Northeast,01,017
01778,MA,Northeast,01,017
01784,MA,Northeast,01,017
01801,MA,Northeast,01,018
01803,MA,Northeast,01,018
01805,MA,Northeast,01,018
01806,MA,Northeast,01,018
01807,MA,Northeast,01,018
01808,MA,Northeast,01,018
01810,MA,Northeast,01,018
01812,MA,Northeast,01,018
01813,MA,Northeast,01,018
01815,MA,Northeast,01,018
01821,MA,Northeast,01,018
01822,MA,Northeast,01,018
01824,MA,Northeast,01,018
01826,MA,Northeast,01,018
01827,MA,Northeast,01,018
01830,MA,Northeast,01,018
01831,MA,Northeast,01,018
01832,MA,Northeast,01,018
01833,MA,Northeast,01,018
01834,MA,Northeast,01,018
01835,MA,Northeast,01,018
01840,MA,Northeast,01,018
01841,MA,Northeast,01,018
01842,MA,Northeast,01,018
01843,MA,Northeast,01,018
01844,MA,Northeast,01,018
01845,MA,Northeast,01,018
01850,MA,Northeast,01,018
01851,MA,Northeast,01,018
01852,MA,Northeast,01,018
01853,MA,Northeast,01,018
01854,MA,Northeast,01,018
01860,MA,Northeast,01,018
01862,MA,Northeast,01,018
01863,MA,Northeast,01,018
01864,MA,Northeast,01,018
01865,MA,Northeast,01,018
01866,MA,Northeast,01,018
01867,MA,Northeast,01,018
01876,MA,Northeast,01,018
01879,MA,Northeast,01,018
01880,MA,Northeast,01,018
01885,MA,Northeast,01,018
01886,MA,Northeast,01,018
01887,MA,Northeast,01,018
01888,MA,Northeast,01,018
01889,MA,Northeast,01,018
01890,MA,Northeast,01,018
01899,MA,Northeast,01,018
01901,MA,Northeast,01,019
01902,MA,Northeast,01,019
01903,MA,Northeast,01,019
01904,MA,Northeast,01,019
01905,MA,Northeast,01,019
01906,MA,Northeast,01,019
01907,MA,Northeast,01,019
01908,MA,Northeast,01,019
01910,MA,Northeast,01,019
01913,MA,Northeast,01,019
01915,MA,Northeast,01,019
01921,MA,Northeast,01,019
01922,MA,Northeast,01,019
01923,MA,Northeast,01,019
01929,MA,Northeast,01,019
01930,MA,Northeast,01,019
01931,MA,Northeast,01,019
01936,MA,Northeast,01,019
01937,MA,Northeast,01,019
01938,MA,Northeast,01,019
01940,MA,Northeast,01,019
01944,MA,Northeast,01,019
01945,MA,Northeast,01,019
01949,MA,Northeast,01,019
01950,MA,Northeast,01,019
01951,MA,Northeast,01,019
01952,MA,Northeast,01,019
01960,MA,Northeast,01,019
01961,MA,Northeast,01,019
01965,MA,Northeast,01,019
01966,MA,Northeast,01,019
01969,MA,Northeast,01,019
01970,MA,Northeast,01,019
01971,MA,Northeast,01,019
01982,MA,Northeast,01,019
01983,MA,Northeast,01,019
01984,MA,Northeast,01,019
01985,MA,Northeast,01,019
02018,MA,Northeast,02,020
02019,MA,Northeast,02,020
02020,MA,Northeast,02,020
02021,MA,Northeast,02,020
02025,MA,Northeast,02,020
02026,MA,Northeast,02,020
02027,MA,Northeast,02,020
02030,MA,Northeast,02,020
02031,MA,Northeast,02,020
02032,MA,Northeast,02,020
02035,MA,Northeast,02,020
02038,MA,Northeast,02,020
02040,MA,Northeast,02,020
02041,MA,Northeast,02,020
02043,MA,Northeast,02,020
02044,MA,Northeast,02,020
02045,MA,Northeast,02,020
02047,MA,Northeast,02,020
02048,MA,Northeast,02,020
02050,MA,Northeast,02,020
02051,MA,Northeast,02,020
02052,MA,Northeast,02,020
02053,MA,Northeast,02,020
02054,MA,Northeast,02,020
02055,MA,Northeast,02,020
02056,MA,Northeast,02,020
02059,MA,Northeast,02,020
02060,MA,Northeast,02,020
02061,MA,Northeast,02,020
