Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,3,33,49.78,63.4939,0.083571,60,61,32,32,3.4041,53607957.56,8
H&M,3,36,40.88,59.5939,0.034531,53,53,28,27,3.3867,50113793.18,9
H&M,3,37,7.33,52.3449,0.01202,61,53,33,28,3.332,50482052.06,9
H&M,3,38,97.66,58.5388,0.037306,60,61,31,33,3.2989,49056480.9,9
H&M,3,39,15.98,58.1796,0.094571,60,60,30,31,3.2833,65895762.01,10
H&M,3,40,30.77,52.4429,0.04049,63,60,32,30,3.2106,50791777.24,10
H&M,3,43,8.05,46.5408,0.03298,59,63,31,34,2.9946,54946270.97,10
H&M,3,45,39.27,39.5429,0.014429,72,85,37,44,2.8888,52345358.6,11
H&M,3,47,12.5,35.9918,0.16561,100,69,52,36,2.7656,71155437.58,11
H&M,3,48,80,31.9571,0.13151,82,100,44,52,2.7009,115816443,12
H&M,3,50,10.41,32.5612,0.055531,65,66,35,35,2.4426,110545404.8,12
H&M,4,1,65.32,20.569,0.26104,46,53,24,27,3.2631,61492760.7,1
H&M,4,2,518.68,35.9685,0.14446,48,46,25,24,3.2574,57539409.47,1
H&M,4,3,554.52,12.6053,0.025109,49,48,25,25,3.2404,54173417.13,1
H&M,4,4,379.87,18.9927,0.015642,48,49,25,25,3.2417,62557438.97,1
H&M,4,5,148.82,18.615,0.045593,52,48,27,25,3.248,57741423.48,2
H&M,4,6,725.74,16.1719,0.14458,46,52,24,27,3.2816,58429948.63,2
H&M,4,7,266.84,23.1501,0.15809,52,46,27,24,3.3503,58527582.51,2
H&M,4,8,461.59,17.6634,0.00050847,49,52,25,27,3.4036,68292043.94,2
H&M,4,9,381.13,16.3366,0.0024697,51,49,27,25,3.4321,67214297.82,3
H&M,4,10,396.37,26.8281,0.15981,55,51,29,27,3.4652,55112365.96,3
H&M,4,11,526.06,24.8838,0.10492,54,55,29,29,3.4883,55204513.98,3
H&M,4,12,466.49,25.9128,0.018087,59,54,31,29,3.4991,56587827.29,3
H&M,4,13,553.95,35.3511,0.28554,57,59,30,31,3.5253,66181801.73,4
H&M,4,14,548.04,43.8644,0.10709,56,57,29,30,3.5501,53044599.44,4
H&M,4,15,770.7,39.9201,0.13303,59,56,31,29,3.5921,55548326.56,4
H&M,4,16,266.49,44.9492,0.076441,53,59,27,31,3.6202,52812187.85,4
H&M,4,17,501.92,46.4722,0.11889,54,53,28,27,3.6246,68064917.82,4
H&M,4,18,889.51,51.0436,0.071768,58,54,30,28,3.6028,58490928.6,5
H&M,4,19,422.09,56.2712,0.14574,55,58,28,30,3.5956,54014649.01,5
H&M,4,20,580.53,55.1719,0.095981,54,55,28,28,3.598,53551134.32,5
H&M,4,21,559.87,54.3874,0.11579,54,54,29,28,3.6131,61517631.73,5
H&M,4,22,798.66,60.1695,0.082881,51,54,27,29,3.619,63331249.72,6
H&M,4,23,768.36,62.8015,0.22697,52,51,27,27,3.6139,57372480.77,6
H&M,4,24,796.66,62.2857,0.063947,51,52,27,27,3.6274,56249930.11,6
H&M,4,25,789.19,63.7022,0.20092,49,51,26,27,3.6376,58537999.83,6
H&M,4,26,467.29,71.1501,0.44424,54,49,28,26,3.6243,60978421.45,7
H&M,4,27,656.83,69.9976,0.014479,48,54,25,28,3.5889,55234038.75,7
H&M,4,28,529,69.3123,0.21637,53,48,27,25,3.5468,49419270.48,7
H&M,4,29,424.45,68.3462,0.07155,54,53,27,27,3.5034,47079927.57,7
H&M,4,30,676.71,66.7458,0.21654,58,54,30,27,3.4612,58994478.82,7
H&M,4,31,357.03,67.3584,0.12414,58,58,30,30,3.4483,64061272.56,8
H&M,4,32,445.28,64.9637,0.35765,61,58,32,30,3.4331,53130059.7,8
H&M,4,33,409.19,64.046,0.010024,60,61,32,32,3.4041,53607957.56,8
H&M,4,34,178.14,67.247,0.0069007,56,60,28,32,3.4016,59269432.69,8
H&M,4,35,470.11,70.4867,0.11337,53,56,27,28,3.4086,55122979.26,9
H&M,4,36,409.56,56.8354,0.030823,53,53,28,27,3.3867,50113793.18,9
H&M,4,37,908.95,50.7651,0.011985,61,53,33,28,3.332,50482052.06,9
H&M,4,38,264.98,57.5206,0.024286,60,61,31,33,3.2989,49056480.9,9
H&M,4,39,428.44,56.8959,0.019225,60,60,30,31,3.2833,65895762.01,10
H&M,4,40,489.51,51.9153,0.13126,63,60,32,30,3.2106,50791777.24,10
H&M,4,41,519.11,57.908,0.217,65,63,34,32,3.1195,47355591.03,10
H&M,4,42,182.64,47.0145,0.36954,63,65,34,34,3.0507,49073930.89,10
H&M,4,43,183.38,46.0847,0.055012,59,63,31,34,2.9946,54946270.97,10
H&M,4,44,352.5,37.7409,0.10525,85,59,44,31,2.9385,54283147.72,11
H&M,4,45,309.4,38.0387,0.031889,72,85,37,44,2.8888,52345358.6,11
H&M,4,46,263.69,29.3002,0.078063,69,72,36,37,2.8292,59302549.18,11
H&M,4,47,507.82,34.6392,0.18334,100,69,52,36,2.7656,71155437.58,11
H&M,4,48,206.13,28.4019,0.157,82,100,44,52,2.7009,115816443,12
H&M,4,49,496.04,28.7215,0.32252,66,82,35,44,2.5858,95699514.06,12
H&M,4,50,444.03,30.9274,0.11596,65,66,35,35,2.4426,110545404.8,12
H&M,4,51,348.4,35.4479,0.15893,66,65,36,35,2.301,67497543.99,12
H&M,5,14,12.62,43.8968,0.035952,56,57,29,30,3.5501,53044599.44,4
